W. Europe Standard Time 2026-03-02 16:59:07.622,1772470740987636400,0.88671,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470740991636500,0.972507,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470740995636500,0.952631,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470740999636500,0.977131,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741002638000,1.00379,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741007636600,1.04028,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741011636800,1.06639,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741014638800,1.05648,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741019636500,1.07699,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741022638300,1.13811,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741027636700,1.08046,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.622,1772470741030637600,1.13955,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741035636500,1.1775,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741039636400,1.14469,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741043636700,1.20629,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741046637900,1.22559,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741051636600,1.28683,10,10,10,0,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741054637900,1.23927,10,10,10,0.180474,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741059636700,1.21523,10,10,10,0.180474,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741063637300,1.1963,10,10,10,0.180474,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741067636400,1.28271,10,10,10,0.180474,12,-4616
W. Europe Standard Time 2026-03-02 16:59:07.623,1772470741071636400,1.27173,10,10,10,0.180474,12,-4616
